Id;Food;Category;Carbohydrates;Sugars;Dietary fiber;Fats;Saturated fat;Protein;Calcium;Cholesterol;Copper;Iodine;Iron;Magnesium;Niacin;Phosphorus;Potassium;Riboflavin (B2);Selenium;Sodium;Thiamin (B1);Vitamin A;Vitamin B12;Vitamin C;Vitamin D;Vitamin E;Zinc;Artificially sweetened;Cholesterol-free;Egg-free;Fat-free;Fructose-sweetened;Gluten-free;High-fibre;Lacto-ovo-vegetarian;Lactose-free;Lacto-vegetarian;Milk-free;No added salt;No additives;No colouring agents;No preservatives;Soy-free;Sugar-free;Unsweetened;Vegan
11196;AROMATIC SALT, 71% SALT CONTENT;Other ingredients;11.721;4.251;4.073;1.303;0.6497;1.82;312.67;0.71;0.4436;6.58;5.343;151.296;0.638;90.2;255.23;0.073;0.455;27865;0.0168;2.236;0;2.22;0;0.651;0.607;0;1;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1
11197;HP-SAUCE, BROWN SAUCE;Spices;25.2;1.6;0;0;0;0.35;43;0;0.0077;0.17;3.1;29;0.088;36;390;0.09;0.239;980;0.13;6.68;0;1.45;0;0.071;0.2;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1
11211;CHEESE, FETA CHEESE IN BRINE, MADE WITH GOAT MILK, 25% FAT;Milk;1.2;1.2;0;25;15.2078;18;480;66.8;0.07;0.34;0.2;20;3.64;280;95;0.21;6.897;1040;0.04;222.74;1.1;0;0.5;0.945;0.9;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0
11287;VEGETABLE FAT SPREAD 28%, MINI LÄTTA;Fat;0.3;0.3;0;28;10.064;2;17.52;0;0.0068;1.78;0.103;3.48;0.099;11.7;17.87;0.02;0.322;600;0.0033;800;0;0.1;20;3;0.047;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0
11503;GRAPE JUICE, UNSWEETENED;Fruits;14;14;0;0;0;1;9.58;0;0.07;1;1;7.2;0.238;23.9;201.8;0.04;0.5;5;0.05;2.7;0;30;0;0.63;0.07;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1
11505;BANANA CHIP;Fruits;59.9;22.1;3;29;5.3762;2;7.43;1;0.0996;1;0.929;27.816;0.786;21.4;313.53;0.052;0.306;5.71;0.0343;1.444;0;8.57;0;4.475;0.163;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0;1;0;0;1
11512;PORK CHOP, CUTLET;Meat;0;0;0;11.259;4.7122;21.83;8;46.9;0.044;3;0.54;21;10.276;180;320;0.14;20;39;1.1;9;0.65;0;0.5;0.32;1.8;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;0
11513;PORK FILLET, BONELESS TENDERLOIN, FAT 4.5 %;Meat;0;0;0;4.5;1.64;21;7.4;50;0.07;3;0.61;20;6.924;160;280;0.23;20;63.5;0.93;3;0.58;0;0.3;0.26;1.6;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;0
11522;RYE AND RICE MIX, CRASHED RYE GRAIN;Cereals;73.532;0.332;5.8;1.402;0.2881;8.51;16;0;0.345;1.25;1.65;93.25;5.38;269.5;285;0.078;2.725;4;0.37;0.13;0;0;0;0.277;2.175;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;1;1
11550;CREAM CHEESE, 30% FAT, FLAVOURED, LOW-LACTOSE;Milk;3.095;3.092;0.065;31;19.3354;4.78;180.62;78;0.0181;11;0.118;16.147;1.121;179.8;268.81;0.309;3.681;300;0.0592;222.09;0.45;1.83;0.157;0.748;0.616;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0
11551;TURKEY BREAST;Meat;0;0;0;2.01;0.5958;25.63;10;55;0.021;6;0.77;17;12.61;150;220;0.18;24;34;0.14;15.07;1;0;0.1;0.7;2.6;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;0
11553;FRUIT JAM, AVERAGE;Sugar and confectionery;33.137;32.234;1.825;0.151;0.0207;0.7;10.67;0;0.068;1.99;0.416;10.958;0.489;13;163.87;0.038;0.636;1.79;0.0207;14.954;0;6.13;0;0.412;0.137;0;1;1;1;0;1;0;1;1;1;1;1;0;0;0;1;0;0;1
